group,variable,value
sttl,dttl,0.0678204176865118
sttl,sloss,-0.06487461693249767
sttl,dloss,-0.14082698092635157
sttl,service,-0.07096475006290534
sttl,Sload,0.20082721738251683
sttl,Dload,-0.2897957792626303
sttl,Spkts,-0.16106703680523374
sttl,Dpkts,-0.16933457600685684
sttl,swin,-0.3894757704392361
sttl,dwin,-0.3982259799467333
sttl,stcpb,-0.31067030212006264
sttl,dtcpb,-0.310927208056905
sttl,Sjit,0.03882296030397872
sttl,Djit,-0.12502923800592441
sttl,Sintpkt,-0.03314923586925403
sttl,Dintpkt,-0.019381243632407855
sttl,tcprtt,0.14313870535895465
dttl,proto,-0.058767029157443626
dttl,state,-0.1657834550979143
dttl,dur,0.05905260770196081
dttl,sbytes,0.06902077034712636
dttl,dbytes,0.020861184473071483
dttl,sttl,0.0678204176865118
dttl,dttl,0.9999999999999999
dttl,sloss,0.0864650710089868
dttl,dloss,0.030112215401228624
dttl,service,0.05781152906354556
dttl,Sload,-0.2496445509885542
dttl,Dload,-0.002329176978805807
dttl,Spkts,0.07225717206437993
dttl,Dpkts,0.04130339962838198
dttl,swin,0.3963494282729764
dttl,dwin,0.3988695211467304
dttl,stcpb,0.3110211455442646
dttl,dtcpb,0.30933700056942076
dttl,Sjit,0.16721550990676037
dttl,Djit,0.10517191845697481
dttl,Sintpkt,-0.013490053236036123
dttl,Dintpkt,0.02232986357124837
dttl,tcprtt,0.4818620637996483
sloss,proto,-0.03330699522681543
sloss,state,0.009716619265369835
sloss,dur,0.155196342917264
sloss,sbytes,0.9729818984516933
sloss,dbytes,0.08792667516516084
sloss,sttl,-0.06487461693249767
sloss,dttl,0.0864650710089868
sloss,sloss,1.0
sloss,dloss,0.1157659014502399
sloss,service,0.08250034233928444
sloss,Sload,-0.07007067128981974
sloss,Dload,0.0557544268932706
sloss,Spkts,0.7859598280490349
sloss,Dpkts,0.2103352722262643
sloss,swin,0.16741919100644376
sloss,dwin,0.16746857096195647
sloss,stcpb,0.13100547180110172
sloss,dtcpb,0.12920767075288933
sloss,Sjit,0.005635967966594867
sloss,Djit,0.0260723501828739
sloss,Sintpkt,-0.008021456221540152
sloss,Dintpkt,-0.004313633218763473
sloss,tcprtt,0.01856215283293082
dloss,proto,-0.05114970665232397
dloss,state,0.026300926156079155
dloss,dur,0.2459221543948489
dloss,sbytes,0.03833411560074409
dloss,dbytes,0.9912604324953843
dloss,sttl,-0.14082698092635157
dloss,dttl,0.030112215401228624
dloss,sloss,0.1157659014502399
dloss,dloss,1.0
dloss,service,0.005142988397324476
dloss,Sload,-0.10903153529572171
dloss,Dload,0.15542436299056336
dloss,Spkts,0.6757740623255017
dloss,Dpkts,0.9908965489954736
dloss,swin,0.25710810022851416
dloss,dwin,0.2582839447639045
dloss,stcpb,0.1994570715828495
dloss,dtcpb,0.20123078415412507
dloss,Sjit,0.0170059014793851
dloss,Djit,0.154916062137555
dloss,Sintpkt,-0.012851454063348885
dloss,Dintpkt,-0.009943207205535305
dloss,tcprtt,-0.015829333481645818
service,proto,0.061666295475342144
service,state,0.0638635536818984
service,dur,0.0044397982627144015
service,sbytes,0.08271961920222673
service,dbytes,-0.006324383977642117
service,sttl,-0.07096475006290533
service,dttl,0.057811529063545565
service,sloss,0.08250034233928444
service,dloss,0.005142988397324476
service,service,1.0
service,Sload,-0.01778018250744792
service,Dload,-0.28113934281140246
service,Spkts,0.04467295324589017
service,Dpkts,0.019615597757272743
service,swin,0.10205333432288075
service,dwin,0.10580634047842138
service,stcpb,0.0825059405141472
service,dtcpb,0.07966177149541333
service,Sjit,0.02667271741094586
service,Djit,0.2550387217673749
service,Sintpkt,-0.03911280025164209
service,Dintpkt,-0.025079535449197516
service,tcprtt,-0.008455874322931801
Sload,proto,0.09975785005918274
Sload,state,0.36029999930043227
Sload,dur,-0.06868384763827402
Sload,sbytes,-0.022835027209015965
Sload,dbytes,-0.08506246054240463
Sload,sttl,0.20082721738251683
Sload,dttl,-0.2496445509885542
Sload,sloss,-0.07007067128981974
Sload,dloss,-0.10903153529572171
Sload,service,-0.017780182507447916
Sload,Sload,1.0
Sload,Dload,-0.21374856911478207
Sload,Spkts,-0.14246552051136427
Sload,Dpkts,-0.13386489233059518
Sload,swin,-0.41922178624016865
Sload,dwin,-0.418376143323696
Sload,stcpb,-0.3260345395639584
Sload,dtcpb,-0.3259868897443072
Sload,Sjit,-0.03610059087118732
Sload,Djit,-0.11755085454765143
Sload,Sintpkt,-0.023283422109317532
Sload,Dintpkt,-0.02111262730253332
Sload,tcprtt,-0.05724363754259086
Dload,proto,-0.08520767528160934
Dload,state,0.0005701237699760894
Dload,dur,-0.06358150372664217
Dload,sbytes,-0.0008190092533103628
Dload,dbytes,0.12402991956850343
Dload,sttl,-0.2897957792626303
Dload,dttl,-0.002329176978805807
Dload,sloss,0.05575442689327059
Dload,dloss,0.15542436299056334
Dload,service,-0.28113934281140246
Dload,Sload,-0.21374856911478207
Dload,Dload,1.0
Dload,Spkts,0.19919673668303695
Dload,Dpkts,0.17413420571590577
Dload,swin,0.4566377315295225
Dload,dwin,0.4589638020373561
Dload,stcpb,0.3584594831809582
Dload,dtcpb,0.36005712084802655
Dload,Sjit,-0.038520801475993266
Dload,Djit,-0.1147991077314882
Dload,Sintpkt,-0.028730537382580832
Dload,Dintpkt,-0.02330385987701569
Dload,tcprtt,-0.05948413676958806
Spkts,proto,-0.07145207435401854
Spkts,state,0.03109704620607892
Spkts,dur,0.2803350971718789
Spkts,sbytes,0.7028223732327257
Spkts,dbytes,0.6412082204423851
Spkts,sttl,-0.16106703680523374
Spkts,dttl,0.07225717206437993
Spkts,sloss,0.7859598280490349
Spkts,dloss,0.6757740623255017
Spkts,service,0.04467295324589017
Spkts,Sload,-0.14246552051136427
Spkts,Dload,0.19919673668303695
Spkts,Spkts,1.0
Spkts,Dpkts,0.7476201674476509
Spkts,swin,0.32954107831276713
Spkts,dwin,0.3308973313340606
Spkts,stcpb,0.2570411062853388
Spkts,dtcpb,0.2568657257365065
Spkts,Sjit,0.011726822143730543
Spkts,Djit,0.10409762799125354
Spkts,Sintpkt,-0.01623755758095706
Spkts,Dintpkt,-0.011171260758012254
Spkts,tcprtt,-0.005861671609375766
Dpkts,proto,-0.06079543905621106
Dpkts,state,0.023026520888686113
Dpkts,dur,0.25382351822974636
Dpkts,sbytes,0.11323013078920094
Dpkts,dbytes,0.9694590749559102
Dpkts,sttl,-0.16933457600685684
Dpkts,dttl,0.04130339962838198
Dpkts,sloss,0.2103352722262643
Dpkts,dloss,0.9908965489954736
Dpkts,service,0.019615597757272743
Dpkts,Sload,-0.13386489233059518
Dpkts,Dload,0.17413420571590577
Dpkts,Spkts,0.7476201674476508
Dpkts,Dpkts,0.9999999999999999
Dpkts,swin,0.30767828909900635
Dpkts,dwin,0.30912413437377495
Dpkts,stcpb,0.23917658872008943
Dpkts,dtcpb,0.2406747875195051
Dpkts,Sjit,0.01810399720635419
Dpkts,Djit,0.16157284992456336
Dpkts,Sintpkt,-0.015345563771460239
Dpkts,Dintpkt,-0.01084530861242526
Dpkts,tcprtt,-0.017474506268050152
swin,proto,-0.19894372704548352
swin,state,0.11526033828581987
swin,dur,0.04099308629526259
swin,sbytes,0.054456107477239904
swin,dbytes,0.19943387297571313
swin,sttl,-0.3894757704392361
swin,dttl,0.3963494282729764
swin,sloss,0.16741919100644378
swin,dloss,0.25710810022851416
swin,service,0.10205333432288075
swin,Sload,-0.41922178624016865
swin,Dload,0.45663773152952253
swin,Spkts,0.3295410783127672
swin,Dpkts,0.30767828909900635
swin,swin,0.9999999999999999
swin,dwin,0.9954356147411536
swin,stcpb,0.7757564497271466
swin,dtcpb,0.7756166617078457
swin,Sjit,0.08340313295387906
swin,Djit,0.26623246405411755
swin,Sintpkt,-0.040182217203964324
swin,Dintpkt,-0.017254959418786082
swin,tcprtt,0.13405772200178992
dwin,proto,-0.1980401180422493
dwin,state,0.10198038391362906
dwin,dur,0.034152069204723114
dwin,sbytes,0.05471223942812963
dwin,dbytes,0.2003490002380719
dwin,sttl,-0.3982259799467333
dwin,dttl,0.3988695211467304
dwin,sloss,0.16746857096195647
dwin,dloss,0.2582839447639045
dwin,service,0.10580634047842138
dwin,Sload,-0.41837614332369594
dwin,Dload,0.4589638020373561
dwin,Spkts,0.3308973313340606
dwin,Dpkts,0.30912413437377495
dwin,swin,0.9954356147411536
dwin,dwin,1.0
dwin,stcpb,0.7791453947181988
dwin,dtcpb,0.7791118339473626
dwin,Sjit,0.0832699962671648
dwin,Djit,0.2674916191566974
dwin,Sintpkt,-0.042463530302597495
dwin,Dintpkt,-0.017036750497633875
dwin,tcprtt,0.13456209744061645
stcpb,proto,-0.1543343488849649
stcpb,state,0.07950025480528343
stcpb,dur,0.025787625438977894
stcpb,sbytes,0.04315724983790431
stcpb,dbytes,0.15429453791471748
stcpb,sttl,-0.31067030212006264
stcpb,dttl,0.3110211455442646
stcpb,sloss,0.13100547180110172
stcpb,dloss,0.19945707158284948
stcpb,service,0.0825059405141472
stcpb,Sload,-0.32603453956395845
stcpb,Dload,0.3584594831809582
stcpb,Spkts,0.2570411062853388
stcpb,Dpkts,0.23917658872008946
stcpb,swin,0.7757564497271467
stcpb,dwin,0.7791453947181988
stcpb,stcpb,0.9999999999999998
stcpb,dtcpb,0.6879719083502096
stcpb,Sjit,0.06378527057481412
stcpb,Djit,0.2071716359479731
stcpb,Sintpkt,-0.03313773237409189
stcpb,Dintpkt,-0.013381770261702036
stcpb,tcprtt,0.10639913768054886
dtcpb,proto,-0.1543064474841413
dtcpb,state,0.07921752982467702
dtcpb,dur,0.025963995591738943
dtcpb,sbytes,0.0415827905206808
dtcpb,dbytes,0.15614840808533284
dtcpb,sttl,-0.31092720805690494
dtcpb,dttl,0.30933700056942076
dtcpb,sloss,0.12920767075288936
dtcpb,dloss,0.2012307841541251
dtcpb,service,0.07966177149541333
dtcpb,Sload,-0.3259868897443072
dtcpb,Dload,0.36005712084802655
dtcpb,Spkts,0.25686572573650646
dtcpb,Dpkts,0.2406747875195051
dtcpb,swin,0.7756166617078458
dtcpb,dwin,0.7791118339473627
dtcpb,stcpb,0.6879719083502096
dtcpb,dtcpb,1.0
dtcpb,Sjit,0.06564631497108613
dtcpb,Djit,0.2067846854870589
dtcpb,Sintpkt,-0.03303177618916494
dtcpb,Dintpkt,-0.01293708163665678
dtcpb,tcprtt,0.10607413527999744
Sjit,proto,-0.022502819773416158
Sjit,state,0.007598631106262745
Sjit,dur,0.12580842895318065
Sjit,sbytes,0.0015049440760117286
Sjit,dbytes,0.0179022198405557
Sjit,sttl,0.03882296030397873
Sjit,dttl,0.1672155099067604
Sjit,sloss,0.005635967966594867
Sjit,dloss,0.0170059014793851
Sjit,service,0.026672717410945856
Sjit,Sload,-0.03610059087118732
Sjit,Dload,-0.03852080147599326
Sjit,Spkts,0.011726822143730541
Sjit,Dpkts,0.018103997206354187
Sjit,swin,0.08340313295387908
Sjit,dwin,0.0832699962671648
Sjit,stcpb,0.06378527057481412
Sjit,dtcpb,0.06564631497108613
Sjit,Sjit,1.0
Sjit,Djit,0.4067104206355708
Sjit,Sintpkt,0.07869819709043191
Sjit,Dintpkt,0.22196421356822874
Sjit,tcprtt,0.13964782112355476
Djit,proto,-0.0982298042579534
Djit,state,0.020038155762640453
Djit,dur,0.1883248012797243
Djit,sbytes,0.0016872477097898974
Djit,dbytes,0.15637381698196753
Djit,sttl,-0.1250292380059244
Djit,dttl,0.10517191845697481
Djit,sloss,0.026072350182873905
Djit,dloss,0.15491606213755496
Djit,service,0.2550387217673749
Djit,Sload,-0.11755085454765143
Djit,Dload,-0.11479910773148821
Djit,Spkts,0.10409762799125354
Djit,Dpkts,0.16157284992456336
Djit,swin,0.2662324640541176
Djit,dwin,0.2674916191566974
Djit,stcpb,0.2071716359479731
Djit,dtcpb,0.2067846854870589
Djit,Sjit,0.40671042063557084
Djit,Djit,0.9999999999999998
Djit,Sintpkt,0.04830491991395164
Djit,Dintpkt,0.13234023213853852
Djit,tcprtt,0.029426262308328108
Sintpkt,proto,-0.4976996344024552
Sintpkt,state,0.009653810562205866
Sintpkt,dur,0.2749025628952667
Sintpkt,sbytes,-0.0027434066742804196
Sintpkt,dbytes,-0.00991931666343302
Sintpkt,sttl,-0.03314923586925402
Sintpkt,dttl,-0.013490053236036123
Sintpkt,sloss,-0.008021456221540152
Sintpkt,dloss,-0.012851454063348887
Sintpkt,service,-0.0391128002516421
Sintpkt,Sload,-0.023283422109317532
Sintpkt,Dload,-0.02873053738258083
Sintpkt,Spkts,-0.016237557580957056
Sintpkt,Dpkts,-0.015345563771460239
Sintpkt,swin,-0.040182217203964324
Sintpkt,dwin,-0.042463530302597495
Sintpkt,stcpb,-0.03313773237409189
Sintpkt,dtcpb,-0.033031776189164946
Sintpkt,Sjit,0.07869819709043191
Sintpkt,Djit,0.04830491991395164
Sintpkt,Sintpkt,1.0
Sintpkt,Dintpkt,0.5006720544725912
Sintpkt,tcprtt,0.008789457572823539
Dintpkt,proto,-0.36857263512125754
Dintpkt,state,-0.06728929904185102
Dintpkt,dur,0.3588531930938523
Dintpkt,sbytes,-0.0008935244411491818
Dintpkt,dbytes,-0.00791639558130906
Dintpkt,sttl,-0.019381243632407858
Dintpkt,dttl,0.022329863571248373
Dintpkt,sloss,-0.0043136332187634725
Dintpkt,dloss,-0.009943207205535305
Dintpkt,service,-0.02507953544919752
Dintpkt,Sload,-0.02111262730253332
Dintpkt,Dload,-0.023303859877015692
Dintpkt,Spkts,-0.011171260758012254
Dintpkt,Dpkts,-0.01084530861242526
Dintpkt,swin,-0.017254959418786082
Dintpkt,dwin,-0.01703675049763388
Dintpkt,stcpb,-0.013381770261702036
Dintpkt,dtcpb,-0.012937081636656779
Dintpkt,Sjit,0.22196421356822874
Dintpkt,Djit,0.1323402321385385
Dintpkt,Sintpkt,0.5006720544725912
Dintpkt,Dintpkt,1.0
Dintpkt,tcprtt,0.024825294323814598
tcprtt,proto,-0.026697099593781342
tcprtt,state,-0.03750807180180725
tcprtt,dur,0.05118817063961078
tcprtt,sbytes,0.0214634154952447
tcprtt,dbytes,-0.014078884754269156
tcprtt,sttl,0.14313870535895465
tcprtt,dttl,0.48186206379964824
tcprtt,sloss,0.01856215283293082
tcprtt,dloss,-0.015829333481645818
tcprtt,service,-0.008455874322931801
tcprtt,Sload,-0.057243637542590854
tcprtt,Dload,-0.05948413676958805
tcprtt,Spkts,-0.005861671609375766
tcprtt,Dpkts,-0.017474506268050152
tcprtt,swin,0.13405772200178992
tcprtt,dwin,0.13456209744061645
tcprtt,stcpb,0.10639913768054884
tcprtt,dtcpb,0.10607413527999744
tcprtt,Sjit,0.13964782112355476
tcprtt,Djit,0.02942626230832811
tcprtt,Sintpkt,0.008789457572823539
tcprtt,Dintpkt,0.024825294323814598
tcprtt,tcprtt,1.0
